Date,Equal-Weight,MPT Optimized,QR Score,Hybrid,Signal Only,Regime Only
2020-02-29,-0.100622338871125,-0.2627447447209327,-0.0732766381812019,,,
2020-03-31,-0.3031369754208679,0.1625184257168957,-0.3649132073832049,,,
2020-04-30,0.2128323326115556,0.006103988289253,0.1757651344808309,,,
2020-05-31,0.0040762491571712,-0.019645351931493,-0.0132311375635058,,,
2020-06-30,0.0561050689736134,0.1040779287462506,0.1411029699413521,,,
2020-07-03,,,,0.03324527460464201,0.036806691602341256,0.03324348610213278
2020-07-10,,,,-0.02229474440194376,-0.009046415427190481,-0.022292455247060278
2020-07-17,,,,0.032229017726360734,0.04052127677245153,0.03370313136856288
2020-07-24,,,,0.010253112718694248,-0.011778309154758313,0.013636438983459355
2020-07-31,0.0360549667212922,0.0254014718964676,0.0120730036457503,-0.024435396931803296,0.011774016468456949,-0.011269054069192683
2020-08-07,,,,0.08620284454497394,0.029646095312371258,0.10032150326857553
2020-08-14,,,,0.0436472185767157,-0.011342985716335638,0.007018193967102792
2020-08-21,,,,-0.06291042404341556,0.0007983187175044679,-0.05320421466763125
2020-08-28,,,,0.024334440189599897,0.004792778003200409,0.03265324969246211
2020-08-31,0.0290555300888518,0.1431101975060311,0.020881935370157,,,
2020-09-04,,,,-0.03744150203830758,-0.03183654087648842,-0.03087957184717717
2020-09-11,,,,-0.08624335833517567,-0.01251585377170523,-0.09030329649599483
2020-09-18,,,,-0.009884324818670989,0.08191045621377994,-0.0017510156009968192
2020-09-25,,,,-0.08903176082825984,0.013724826515742247,-0.088970711878983
2020-09-30,-0.0335184537526501,0.0416860894021834,-0.0933717962327627,,,
2020-10-02,,,,-0.009427745774393936,0.02595437648114991,-0.0077794261834105045
2020-10-09,,,,0.08484838875314481,0.026037411941860697,0.0970488325343631
2020-10-16,,,,-0.07067166760024086,0.04831945153970923,-0.0553024794112371
2020-10-23,,,,-0.02725050767640068,-0.03730293510762929,-0.02930396429262622
2020-10-30,,,,-0.00268126876599529,0.0023954740022461883,-0.043002470539779625
2020-10-31,-0.0254563095186084,0.1067790818258776,-0.0564232999588393,,,
2020-11-06,,,,0.02707498066576035,0.037942375777765415,0.041046685348678065
2020-11-13,,,,0.12350964849126762,-0.027574453051184993,0.15162114008213284
2020-11-20,,,,0.0848767257763478,0.005750293293572178,0.0609961720950076
2020-11-27,,,,0.15138667143806991,0.0821589099664278,0.11447979869214735
2020-11-30,0.2203833035356694,0.0141545445513561,0.2441023570256076,,,
2020-12-04,,,,0.04144460785401295,-0.030503212609198596,0.034257821305872134
2020-12-11,,,,0.0912437398776111,0.0007424747839246893,0.04122155731045819
2020-12-18,,,,0.005944226466672679,-0.020985647911492555,-0.015163376645177846
2020-12-25,,,,0.006521728595715498,0.02258351040665226,0.0016252252082867285
2020-12-31,0.0621788342970267,0.0458132794703579,0.0687752742473228,,,
2021-01-01,,,,-0.0388769321215545,0.016760891304518532,-0.02733088778311296
2021-01-08,,,,0.11011244177484071,0.11806815702843583,0.11147932472252363
2021-01-15,,,,-0.06072874374781479,-0.060162279770926086,-0.06281335413813305
2021-01-22,,,,0.066810374763772,0.05590137444917266,0.0642583001608353
2021-01-29,,,,-0.1393939032011992,-0.07165564447028723,-0.1393939032011992
2021-01-31,0.0471631311682253,-0.0009152553076183,0.0599577099629113,,,
2021-02-05,,,,0.3051642914776102,0.07576943633488625,0.3051642914776102
2021-02-12,,,,0.008992848707232803,0.00698407886319119,0.0089928487072328
2021-02-19,,,,0.0481283454795,0.03136889411822583,0.04812834547949999
2021-02-26,,,,0.1173469005116536,-0.07775888471192445,0.11734690051165357
2021-02-28,0.1656641533312177,0.029951014846154,0.2521718846784141,,,
2021-03-05,,,,0.1856924972871416,0.020913872048958802,0.18569249728714157
2021-03-12,,,,-0.0320924558937359,0.03473555046847904,-0.03209245589373588
2021-03-19,,,,-0.0954906892448628,-0.05636442662601517,-0.0954906892448628
2021-03-26,,,,-0.008797568317527303,-0.009312278603350831,-0.00879756831752729
2021-03-31,0.0496854581595333,-0.0187183846253109,0.05260631643113,,,
2021-04-02,,,,-0.017751663382852792,0.027935612865764944,-0.017751663382852792
2021-04-09,,,,-0.021084207213724202,-0.004632375247700194,-0.021084207213724195
2021-04-16,,,,0.03281599648900579,0.016005141151865368,0.03281599648900582
2021-04-23,,,,-0.027296443206541402,-0.03041737341643261,-0.027296443206541385
2021-04-30,0.0080155666764227,0.137003358265515,0.0204126504128656,0.02208928438357642,-0.00040480551682656565,0.02208928436617843
2021-05-07,,,,0.08536260196309955,0.04794647005599377,0.08536260924527467
2021-05-14,,,,-0.002032191669449509,-0.01204189576970651,-0.002032191632299033
2021-05-21,,,,-0.014125931072421518,-0.005731883918898975,-0.0141259280303341
2021-05-28,,,,0.054505996515683705,0.021302040978530397,0.054505380561080986
2021-05-31,0.0693288752251179,0.1544199687354674,0.1144206638823808,,,
2021-06-04,,,,0.02303228029513166,0.009495167531101883,0.02303648435897123
2021-06-11,,,,-0.00592206977012865,-0.0003009035959631641,-0.0059236715753770534
2021-06-18,,,,-0.030801101053682223,-0.018256490400531417,-0.030737540263964913
2021-06-25,,,,0.03325193755712793,0.021141081549240825,0.03320328411882285
2021-06-30,0.0303092514733064,-0.1388660300947903,0.0813166169799562,,,
2021-07-02,,,,0.011002065608907098,0.00895602612293205,0.011037555671378806
2021-07-09,,,,-0.0015037459436228417,-0.0006860867172798314,-0.0015279588101395885
2021-07-16,,,,-0.027760027517756813,-0.026947281538803356,-0.027791591479652194
