Date,ATH.TO,BEP-UN.TO,BHC.TO,CLS.TO,CNQ.TO,GIB-A.TO,MEG.TO,MFC.TO,NPI.TO,RY.TO,SIA.TO,TECK-B.TO
2020-02-21,0.5810313820838928,22.277273178100586,26.70368003845215,10.241933822631836,11.378620147705078,100.62934112548828,6.343721389770508,18.022680282592773,19.59490203857422,79.99657440185547,12.985052108764648,25.26527976989746
2020-02-28,0.5786544680595398,22.479026794433594,27.042314529418945,10.21876335144043,11.428329467773438,100.13247680664062,6.384579658508301,18.001964569091797,19.69661521911621,80.25331115722656,13.180154800415039,25.302127838134766
2020-03-06,0.5672540664672852,22.63323974609375,26.668479919433594,10.228723526000977,11.495015144348145,100.13204193115234,6.3280181884765625,17.597501754760742,19.737272262573242,80.2663803100586,13.241667747497559,25.298202514648438
2020-03-13,0.5588653087615967,22.86490249633789,26.849327087402344,10.190138816833496,11.603047370910645,99.33948516845703,6.140100479125977,17.55531883239746,19.969385147094727,80.66710662841797,13.040987014770508,24.83740234375
2020-03-20,0.5445389747619629,23.116350173950195,26.510459899902344,10.452535629272461,11.751922607421875,99.59957885742188,5.895451068878174,17.249155044555664,20.108137130737305,80.6886215209961,13.33882999420166,24.673063278198242
2020-03-27,0.5495446920394897,23.03343963623047,26.52205467224121,10.572155952453613,11.959595680236816,98.65312194824219,5.609407901763916,17.14957046508789,20.27452278137207,80.85040283203125,13.115129470825195,24.396541595458984
2020-04-03,0.550470232963562,22.911052703857422,26.53060531616211,10.36277961730957,11.960969924926758,95.4673843383789,5.381129741668701,17.09857749938965,20.416488647460938,81.48816680908203,12.995899200439453,23.989131927490234
2020-04-10,0.5555059313774109,22.527524948120117,26.758392333984375,10.225842475891113,12.086215019226074,95.56462860107422,5.311161041259766,17.232032775878906,20.42636489868164,81.45670318603516,12.826454162597656,23.50848388671875
2020-04-17,0.556357204914093,22.50799560546875,27.0404109954834,10.026599884033203,12.109236717224121,96.22291564941406,5.141094207763672,17.189226150512695,20.552976608276367,81.4675521850586,12.746893882751465,23.118375778198242
2020-04-24,0.557647168636322,22.407556533813477,27.354801177978516,9.996270179748535,12.177165031433105,96.33987426757812,5.05138635635376,17.24408531188965,20.604379653930664,81.59739685058594,12.700287818908691,22.92426300048828
2020-05-01,0.5541729927062988,22.357929229736328,27.44745635986328,9.884992599487305,12.178692817687988,96.7103500366211,5.026648998260498,17.03443145751953,20.690113067626953,81.43104553222656,12.666717529296875,22.70055389404297
2020-05-08,0.5532423257827759,22.224079132080078,27.650711059570312,9.861961364746094,12.352028846740723,96.47627258300781,5.1021647453308105,17.015167236328125,20.764162063598633,81.42644500732422,12.62205982208252,22.584531784057617
2020-05-15,0.5517964959144592,22.259788513183594,27.603357315063477,9.805098533630371,12.658291816711426,95.96967315673828,5.1780195236206055,16.908130645751953,20.830049514770508,81.3989486694336,12.519386291503906,22.647329330444336
2020-05-22,0.5252290964126587,33.30220413208008,29.998981475830078,10.202189445495605,11.882678031921387,86.34907531738281,5.210452079772949,16.616607666015625,22.75344467163086,80.02102661132812,11.770071983337402,18.64320945739746
2020-05-29,0.5234832167625427,33.68503952026367,30.295066833496094,10.387484550476074,11.87845230102539,86.35469818115234,5.260049343109131,16.674549102783203,22.710329055786133,79.96493530273438,11.819738388061523,18.588592529296875
2020-06-05,0.5223596096038818,33.72281265258789,30.39542007446289,10.557039260864258,11.821471214294434,86.3746566772461,5.325202941894531,16.787944793701172,22.749820709228516,79.90125274658203,11.807046890258789,18.590471267700195
2020-06-12,0.5265591740608215,33.63679122924805,30.41167640686035,10.616110801696777,11.831620216369629,86.94341278076172,5.4127726554870605,16.93610954284668,22.877899169921875,79.5867691040039,11.865792274475098,18.59563636779785
2020-06-19,0.5279118418693542,33.62508010864258,30.154024124145508,10.586464881896973,11.886056900024414,86.96720123291016,5.45587158203125,16.895389556884766,22.965543746948242,79.64138793945312,11.853270530700684,18.62397575378418
2020-06-26,0.5285699367523193,33.658447265625,30.332683563232422,10.48067855834961,11.910919189453125,87.38002014160156,5.515028476715088,16.718961715698242,22.95892906188965,79.75946807861328,11.891087532043457,18.6234130859375
2020-07-03,0.5277785658836365,33.575164794921875,30.146196365356445,10.441843032836914,11.942120552062988,87.80216217041016,5.5462236404418945,16.68025779724121,22.949161529541016,79.88457489013672,11.930285453796387,18.449365615844727
2020-07-10,0.5273350477218628,33.579917907714844,29.987411499023438,10.362975120544434,12.038979530334473,88.46227264404297,5.6136250495910645,16.53852653503418,23.002864837646484,79.93824768066406,12.006529808044434,18.31441307067871
2020-07-17,0.5265610218048096,33.617855072021484,29.494699478149414,10.350414276123047,12.11799430847168,88.84512329101562,5.649153232574463,16.450538635253906,23.00299644470215,80.20374298095703,12.043427467346191,18.175621032714844
2020-07-24,0.5262709856033325,33.63040542602539,29.352542877197266,10.320265769958496,12.283997535705566,89.24828338623047,5.7159199714660645,16.38147735595703,23.033674240112305,80.13398742675781,12.069748878479004,18.15785789489746
2020-07-31,0.5261666178703308,33.38063430786133,28.918912887573242,10.290337562561035,12.42746639251709,89.49431610107422,5.8213210105896,16.297945022583008,23.023975372314453,80.588623046875,12.075521469116211,18.10945701599121
2020-08-07,0.5260650515556335,33.52633285522461,28.601341247558594,10.414189338684082,12.579578399658203,89.76591491699219,5.8700761795043945,16.140968322753906,22.998294830322266,80.6434326171875,12.059527397155762,18.03995132446289
2020-08-14,0.5259681344032288,33.48397445678711,28.181472778320312,10.439428329467773,12.717227935791016,90.13175201416016,5.975892066955566,16.12883949279785,23.00946807861328,80.93289184570312,12.060164451599121,17.873268127441406
