Date,ATH.TO,BEP-UN.TO,BHC.TO,CLS.TO,CNQ.TO,GIB-A.TO,MEG.TO,MFC.TO,NPI.TO,RY.TO,SIA.TO,TECK-B.TO
2019-11-29,-0.06557489186525345,-0.0024971698876470327,-0.06682395190000534,-0.049595631659030914,-0.024824582040309906,-0.02360663004219532,-0.1205405667424202,-0.012201076373457909,-0.02211662195622921,-0.014922223053872585,-0.0009366018348373473,-0.09632202237844467
2019-12-06,-0.06024690344929695,-0.0026423116214573383,-0.06486734002828598,-0.04257054254412651,-0.023913269862532616,-0.024288155138492584,-0.10924136638641357,-0.006426465697586536,-0.019357474520802498,-0.012996407225728035,-0.0040666209533810616,-0.08757345378398895
2019-12-13,-0.06385055184364319,-0.004370358772575855,-0.06245378777384758,-0.046655844897031784,-0.025645509362220764,-0.02405034564435482,-0.11617180705070496,-0.006709380075335503,-0.01991761475801468,-0.012948191724717617,-0.006232683081179857,-0.08863066881895065
2019-12-20,-0.06633500009775162,-0.003487976733595133,-0.0669194683432579,-0.04727265238761902,-0.03046473115682602,-0.024950502440333366,-0.12185213714838028,-0.005277273245155811,-0.01953030936419964,-0.010952887125313282,-0.004146793857216835,-0.08416124433279037
2019-12-27,-0.0966334119439125,-0.003054151078686118,-0.06969612091779709,-0.053499214351177216,-0.0268382728099823,-0.025451555848121643,-0.12827356159687042,-0.007275167852640152,-0.0216416846960783,-0.012267081066966057,-0.0023161598946899176,-0.09174428880214691
2020-01-03,-0.09376391023397446,-0.0027191878762096167,-0.07225170731544495,-0.052735134959220886,-0.03759614750742912,-0.026717862114310265,-0.1308286190032959,-0.009246745146811008,-0.02077334001660347,-0.014420232735574245,-0.0029763926286250353,-0.09065654128789902
2020-01-10,-0.0878056064248085,-0.0025374724064022303,-0.07458901405334473,-0.057742100208997726,-0.044417962431907654,-0.026929864659905434,-0.12942913174629211,-0.009253904223442078,-0.023881301283836365,-0.01624678447842598,-0.004430278670042753,-0.10126876831054688
2020-01-17,-0.07757455110549927,-0.004639847204089165,-0.0738120824098587,-0.051357701420784,-0.05186789110302925,-0.028063355013728142,-0.12729528546333313,-0.00716680521145463,-0.023693788796663284,-0.017077937722206116,-0.007883957587182522,-0.10131173580884933
2020-01-24,-0.07587114721536636,-0.004906641785055399,-0.07159813493490219,-0.055041298270225525,-0.05163654685020447,-0.028980925679206848,-0.1209566742181778,-0.005784235429018736,-0.02405433915555477,-0.017742548137903214,-0.008669919334352016,-0.09878357499837875
2020-01-31,-0.06979719549417496,-0.006969917099922895,-0.06454207003116608,-0.0498344786465168,-0.05507634952664375,-0.030303174629807472,-0.11244488507509232,-0.0035117699299007654,-0.022439440712332726,-0.01690378226339817,-0.009647400118410587,-0.09590510278940201
2020-02-07,-0.06108627840876579,-0.008445126004517078,-0.059851840138435364,-0.05365408584475517,-0.05123854801058769,-0.028240729123353958,-0.10893503576517105,-0.0037582553923130035,-0.02481774426996708,-0.016385724768042564,-0.010824809782207012,-0.10339118540287018
2020-02-14,-0.05122578516602516,-0.007793183904141188,-0.054209817200899124,-0.047849856317043304,-0.05689525231719017,-0.028772616758942604,-0.0931551530957222,-0.0024773941840976477,-0.023237504065036774,-0.017190029844641685,-0.013423563912510872,-0.09848874807357788
2020-02-21,-0.06635238975286484,-0.01366529893130064,-0.045847970992326736,-0.06480928510427475,-0.015659980475902557,-0.02703130431473255,-0.05085904151201248,-0.00866607204079628,-0.02909383550286293,0.002108938293531537,-0.01793103851377964,-0.06839745491743088
2020-02-28,-0.06438791751861572,-0.011215150356292725,-0.04752126336097717,-0.06723656505346298,-0.0185319185256958,-0.023663900792598724,-0.04423778876662254,-0.00997037161141634,-0.026462022215127945,-0.00015662898658774793,-0.018134823068976402,-0.07202751934528351
2020-03-06,-0.05809558555483818,-0.013964265584945679,-0.03971029445528984,-0.060954805463552475,-0.02516702003777027,-0.016666734591126442,-0.04370556399226189,-0.009785371832549572,-0.026720723137259483,0.0030041891150176525,-0.01561756618320942,-0.06565387547016144
2020-03-13,-0.05033669248223305,-0.012232051230967045,-0.037491921335458755,-0.07372326403856277,-0.018895909190177917,-0.011532828211784363,-0.03568550944328308,-0.005011822562664747,-0.023826193064451218,0.002137036295607686,-0.012724625878036022,-0.06915996223688126
2020-03-20,-0.05398869141936302,-0.010621460154652596,-0.02985989861190319,-0.05339881032705307,-0.029293349012732506,0.006195065565407276,-0.02415539138019085,0.0025139322970062494,-0.021293092519044876,0.004364402964711189,-0.0035334995482116938,-0.062441322952508926
2020-03-27,-0.040771566331386566,-0.007783668115735054,-0.031308118253946304,-0.05417695268988609,-0.031205257400870323,0.022974729537963867,0.0003240479563828558,0.02904905192553997,-0.023588232696056366,0.0019533196464180946,0.0007917048642411828,-0.06724612414836884
2020-04-03,-0.028418967500329018,-0.008852450177073479,-0.030511092394590378,-0.02802174538373947,-0.029722560197114944,0.048789896070957184,-0.028827156871557236,0.05219268798828125,-0.021845880895853043,-0.00037155550671741366,0.010082464665174484,-0.058048736304044724
2020-04-10,-0.02834456041455269,-0.005112809594720602,-0.0370306633412838,-0.03539462760090828,-0.013364044949412346,0.05367859825491905,0.0005515334778465331,0.06731355935335159,-0.01499177236109972,-0.0038458812050521374,0.014142993837594986,-0.07093235850334167
2020-04-17,-0.004721381235867739,-0.0003140846383757889,-0.036597415804862976,-0.020054323598742485,-0.018325667828321457,0.05447455868124962,-0.06311742216348648,0.07617593556642532,-0.01577974110841751,0.005047664977610111,0.019270338118076324,-0.058570705354213715
